                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.174,                 2.2187,                 1.6357,                0.03564,                0.25796,                0.03971,                0.01557,                 1.8311,                 116.86,                 2.8734,             0.00046962,             0.00046962,             0.00046962
                      2,                 1.4278,                 1.8215,                 1.7646,                 0.1997,                0.22737,                0.13639,                0.06265,                 2.1902,                  5.903,                 3.1808,             0.00093035,             0.00093035,             0.00093035
                      3,                 1.4994,                  1.839,                 1.8227,                0.16881,                0.18299,                0.10229,                0.03824,                 2.5955,                 5.1167,                 3.4984,              0.0013754,              0.0013754,              0.0013754
                      4,                 1.4743,                  1.773,                 1.7939,                0.25943,                 0.2996,                0.22301,                0.08873,                 2.5862,                 3.2204,                 3.4254,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.3805,                  1.673,                 1.7252,                0.65461,                0.52915,                0.52023,                0.29655,                 1.6249,                 1.9155,                 2.2822,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.2873,                 1.5234,                 1.6362,                0.65162,                 0.6456,                0.70474,                0.38714,                 1.4211,                 1.5948,                 2.0044,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.2948,                 1.4697,                 1.6486,                0.90656,                0.52241,                0.66632,                0.38128,                 1.3864,                 1.5262,                 1.9484,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.2281,                 1.4111,                 1.5978,                 0.7665,                0.78693,                0.81444,                0.55506,                 1.1067,                 1.0982,                 1.6291,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.1915,                 1.3145,                 1.5598,                0.82692,                0.75817,                0.85239,                0.57628,                 1.1395,                 1.0566,                  1.665,               0.001264,               0.001264,               0.001264
                     10,                 1.1665,                  1.314,                  1.547,                0.80702,                0.88531,                 0.9028,                  0.593,                 1.1527,                0.92331,                 1.6673,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.1755,                 1.2381,                 1.5339,                0.80779,                0.77815,                0.81646,                0.53924,                  1.174,                0.88559,                 1.7038,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.1266,                 1.1993,                  1.502,                0.87256,                0.83646,                0.92122,                0.61033,                  1.175,                0.81339,                 1.6514,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.1466,                 1.1713,                 1.5136,                0.81804,                0.86939,                0.87858,                0.58199,                 1.1556,                0.80845,                 1.6435,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.1078,                  1.104,                 1.4855,                0.86561,                0.83902,                0.90535,                0.60801,                 1.0753,                0.85303,                 1.6264,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.0663,                 1.0633,                  1.448,                0.90795,                0.90777,                0.96258,                0.65823,                 1.0243,                 0.6398,                 1.5373,              0.0011225,              0.0011225,              0.0011225
                     16,                 1.0469,                 1.0246,                 1.4154,                0.90354,                0.93346,                0.97325,                0.68414,                0.98239,                0.59227,                 1.4892,              0.0010989,              0.0010989,              0.0010989
                     17,                 1.0654,                 1.0796,                 1.4542,                0.88621,                0.93217,                0.95712,                0.64053,                 1.0585,                0.66157,                 1.5733,              0.0010753,              0.0010753,              0.0010753
                     18,                 1.0346,                 1.0096,                 1.4354,                0.95895,                0.86707,                0.95097,                0.67424,                 1.0496,                0.72124,                 1.5429,              0.0010517,              0.0010517,              0.0010517
                     19,                 1.0056,                0.97396,                 1.3987,                0.96466,                0.90719,                0.96443,                0.68422,                0.99721,                0.54223,                 1.4934,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.0124,                0.99056,                 1.4153,                0.92466,                0.95906,                0.97789,                0.71277,                0.94839,                0.54992,                 1.4325,              0.0010046,              0.0010046,              0.0010046
                     21,                0.99048,                0.92658,                 1.3743,                0.94453,                0.94821,                0.98583,                0.70073,                 0.9747,                 0.5541,                 1.4662,             0.00098101,             0.00098101,             0.00098101
                     22,                0.95574,                0.90468,                 1.3671,                0.95358,                0.89906,                0.95814,                0.67207,                 1.0239,                0.55716,                 1.4887,             0.00095743,             0.00095743,             0.00095743
                     23,                 0.9851,                0.89934,                 1.3794,                 0.8684,                0.97523,                0.95593,                0.69201,                0.94385,                0.56638,                 1.4281,             0.00093385,             0.00093385,             0.00093385
                     24,                0.95516,                0.88586,                 1.3456,                0.95347,                0.94011,                0.97861,                0.69552,                0.99205,                0.53093,                 1.4324,             0.00091027,             0.00091027,             0.00091027
                     25,                0.91821,                0.86798,                 1.3396,                 0.9651,                0.93692,                0.98404,                0.73414,                0.89794,                0.49868,                 1.3885,             0.00088669,             0.00088669,             0.00088669
                     26,                0.93242,                0.84039,                 1.3396,                0.95187,                0.96094,                0.98503,                0.72039,                0.88541,                0.48014,                 1.3535,             0.00086312,             0.00086312,             0.00086312
