                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2382,                 2.9917,                 1.6874,                0.42155,                0.35597,                0.21986,                0.10802,                 1.8255,                 44.873,                 2.9056,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.2097,                 1.6438,                 1.6103,                0.00292,                0.19144,                0.00245,                0.00091,                 2.2936,                    inf,                   6.08,             0.00063032,             0.00063032,             0.00063032
                      3,                 1.3664,                 1.6606,                  1.711,                0.02271,                0.46939,                0.02113,                0.00631,                 3.3125,                    inf,                 55.485,             0.00093324,             0.00093324,             0.00093324
                      4,                 1.4342,                 1.7455,                 1.7717,                0.00715,                0.34804,                0.00583,                0.00171,                  3.714,                    inf,                 181.28,              0.0012231,              0.0012231,              0.0012231
                      5,                 1.5015,                 1.8068,                 1.8263,                0.01056,                0.10469,                0.00598,                0.00183,                 4.4329,                    inf,                 28.554,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.4322,                 1.7224,                 1.7595,                0.02586,                0.29294,                0.02579,                0.00971,                 2.3738,                    inf,                 6.9966,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3263,                 1.5667,                 1.6877,                0.40417,                 0.2437,                0.06967,                0.02853,                 2.4937,                 86.075,                 5.4333,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.2745,                 1.4449,                 1.6385,                 0.4342,                0.35278,                0.34984,                0.20156,                 2.1457,                  3.834,                 2.9655,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.2227,                 1.3377,                 1.5835,                0.42058,                0.40332,                0.40657,                0.23621,                 1.7557,                 3.8281,                 2.4635,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.1504,                 1.2115,                 1.5167,                0.59095,                0.54681,                0.56112,                0.28857,                 1.8356,                 1.8403,                 2.5205,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1545,                 1.2034,                 1.5299,                0.71397,                0.82775,                0.86731,                0.52386,                 1.3794,                 1.3254,                 2.0166,              0.0011744,              0.0011744,              0.0011744
                     12,                   1.09,                 1.1241,                 1.4768,                0.65231,                0.65407,                0.68462,                0.43646,                 1.4184,                 1.6482,                 2.0249,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.0837,                 1.0695,                 1.4602,                0.76891,                0.67571,                0.73761,                0.49159,                 1.2117,                 1.1377,                  1.807,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.0941,                 1.0655,                 1.4638,                0.76099,                0.72474,                0.78491,                0.49377,                 1.2339,                 1.3083,                 1.8786,              0.0010895,              0.0010895,              0.0010895
